Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
НИТРИТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	2627	5.1	O2	50	II	2
КАЛИЯ ФТОРАЦЕТАТ	2628	6.1	T2	66	I	1
НАТРИЯ ФТОРАЦЕТАТ	2629	6.1	T2	66	I	1
СЕЛЕНАТЫ	2630	6.1	T5	66	I	1
СЕЛЕНИТЫ	2630	6.1	T5	66	I	1
КИСЛОТА ФТОРУКСУСНАЯ	2642	6.1	T2	66	I	1
МЕТИЛБРОМАЦЕТАТ	2643	6.1	T1	60	II	2
МЕТИЛЙОДИД	2644	6.1	T1	66	I	1
ФЕНАЦИЛБРОМИД	2645	6.1	T2	60	II	2
ГЕКСАХЛОРЦИКЛОПЕНТАДИЕН	2646	6.1	T1	66	I	1
МАЛОНОНИТРИЛ	2647	6.1	T2	60	II	2
1,2-ДИБРОМБУТАНОН-3	2648	6.1	T1	60	II	2
1,3-ДИХЛОРАЦЕТОН	2649	6.1	T2	60	II	2
1,1-ДИХЛОР-1-НИТРОЭТАН	2650	6.1	T1	60	II	2
4,4-ДИАМИНОДИФЕНИЛМЕТАН	2651	6.1	T2	60	III	2
БЕНЗИЛЙОДИД	2653	6.1	T1	60	II	2
КАЛИЯ ФТОРОСИЛИКАТ	2655	6.1	T5	60	III	2
ХИНОЛИН	2656	6.1	T1	60	III	2
СЕЛЕНА ДИСУЛЬФИД	2657	6.1	T5	60	II	2
НАТРИЯ ХЛОРАЦЕТАТ	2659	6.1	T2	60	III	2
НИТРОТОЛУИДИНЫ (МОНО-)	2660	6.1	T2	60	III	2
ГЕКСАХЛОРАЦЕТОН	2661	6.1	T1	60	III	2
ДИБРОММЕТАН	2664	6.1	T1	60	III	2
БУТИЛТОЛУОЛЫ	2667	6.1	T1	60	III	2
ХЛОРАЦЕТОНИТРИЛ	2668	6.1	TF1	663	I	1
ХЛОРКРЕЗОЛОВ РАСТВОР	2669	6.1	T1	60	II	2
ХЛОРКРЕЗОЛОВ РАСТВОР	2669	6.1	T1	60	III	2
ЦИАНУРХЛОРИД	2670	8	C4	80	II	2
АМИНОПИРИДИНЫ (о-, м-, п-)	2671	6.1	T2	60	II	2
АММИАКА РАСТВОР в воде с относительной плотностью от 0,880 до 0,957 при температуре 15° С, содержащий более 10%, но не более 35% аммиака	2672	8	C5	80	III	3
2-АМИНО-4-ХЛОРФЕНОЛ	2673	6.1	T2	60	II	2
НАТРИЯ ФТОРСИЛИКАТ	2674	6.1	T5	60	III	2
СТИБИН	2676	2	2TF			1
РУБИДИЯ ГИДРОКСИДА РАСТВОР	2677	8	C5	80	II	2
РУБИДИЯ ГИДРОКСИДА РАСТВОР	2677	8	C5	80	III	3
РУБИДИЯ ГИДРОКСИД	2678	8	C6	80	II	2
ЛИТИЯ ГИДРОКСИДА РАСТВОР	2679	8	C5	80	III	3
ЛИТИЯ ГИДРОКСИДА РАСТВОР	2679	8	C5	80	II	2
ЛИТИЯ ГИДРОКСИД	2680	8	C6	80	II	2
ЦЕЗИЯ ГИДРОКСИДА РАСТВОР	2681	8	C5	80	II	2
ЦЕЗИЯ ГИДРОКСИДА РАСТВОР	2681	8	C5	80	III	3
ЦЕЗИЯ ГИДРОКСИД	2682	8	C6	80	II	2
АММОНИЯ СУЛЬФИДА РАСТВОР	2683	8	CFT	86	II	2
3-ДИЭТИЛАМИНОПРОПИЛАМИН	2684	3	FC	38	III	3
М,М-ДИЭТИЛЭТИЛЕНДИАМИН	2685	8	CF1	83	II	2
2-ДИЭТИЛЭТАНОЛАМИН	2686	8	CF1	83	II	2
ДИЦИКЛОГЕКСИЛАММОНИЯ НИТРИТ	2687	4.1	F3	40	III	3
1-БРОМ-3-ХЛОРПРОПАН	2688	6.1	T1	60	III	2
ГЛИЦЕРИНА альфа-ХЛОРГИДРИН	2689	6.1	T1	60	III	2
М,н-БУТИЛИМИДАЗОЛ	2690	6.1	T1	60	II	2
ФОСФОРА ПЕНТАБРОМИД	2691	8	C2	80	II	2
БОРА ТРИБРОМИД	2692	8	C1	X88	I	1
БИСУЛЬФИТОВ ВОДНЫЙ РАСТВОР, Н.У.К.	2693	8	C1	80	III	3
АНГИДРИДЫ ТЕТРАГИДРОФТАЛЕВЫЕ, содержащие более 0,05% малеинового ангидрида	2698	8	C4	80	III	3
КИСЛОТА ТРИФТОРУКСУСНАЯ	2699	8	C3	88	I	1
ПЕНТОЛ-1	2705	8	C9	80	II	2
ДИМЕТИЛДИОКСАНЫ	2707	3	F1	30	III	3
ДИМЕТИЛДИОКСАНЫ	2707	3	F1	33	II	2
БУТИЛБЕНЗОЛЫ	2709	3	F1	30	III	3
ДИПРОПИЛКЕТОН	2710	3	F1	30	III	3
АКРИДИН	2713	6.1	T2	60	III	2
ЦИНКА РЕЗИНАТ	2714	4.1	F3	40	III	3
АЛЮМИНИЯ РЕЗИНАТ	2715	4.1	F3	40	III	3
БУТИНДИОЛ-1,4	2716	6.1	T2	60	III	2
КАМФАРА синтетическая	2717	4.1	F1	40	III	3
БАРИЯ БРОМАТ	2719	5.1	OT2	56	II	2
ХРОМА (III) НИТРАТ	2720	5.1	O2	50	III	3
МЕДИ (III) ХЛОРАТ	2721	5.1	O2	50	II	2
ЛИТИЯ НИТРАТ	2722	5.1	O2	50	III	3
МАГНИЯ ХЛОРАТ	2723	5.1	O2	50	II	2
МАРГАНЦА (II) НИТРАТ	2724	5.1	O2	50	III	3
НИКЕЛЯ (II) НИТРАТ	2725	5.1	O2	50	III	3
НИКЕЛЯ (II) НИТРИТ	2726	5.1	O2	50	III	3
ТАЛЛИЯ (I) НИТРАТ	2727	6.1	TO2	65	II	2
ЦИРКОНИЯ НИТРАТ	2728	5.1	O2	50	III	3
ГЕКСАХЛОРБЕНЗОЛ	2729	6.1	T2	60	III	2
НИТРОАНИЗОЛЫ ЖИДКИЕ	2730	6.1	T1	60	III	2
НИТРОБРОМБЕНЗОЛЫ ЖИДКИЕ	2732	6.1	T1	60	III	2
АМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	338	I	1
АМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	338	II	2
АМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	38	III	3
ПОЛИАМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	338	I	1
ПОЛИАМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	338	II	2
ПОЛИАМИНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2733	3	FC	38	III	3
АМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2734	8	CF1	883	I	1
АМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2734	8	CF1	83	II	2
ПОЛИАМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2734	8	CF1	883	I	1
ПОЛИАМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2734	8	CF1	83	II	2
АМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	88	I	1
АМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	80	II	2
АМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	80	III	3
ПОЛИАМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	88	I	1
ПОЛИАМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	80	II	2
ПОЛИАМИНЫ ЖИДКИЕ КОРРОЗИОННЫЕ, Н.У.К.	2735	8	C7	80	III	3
N-БУТИЛАНИЛИН	2738	6.1	T1	60	II	2
АНГИДРИД МАСЛЯНЫЙ	2739	8	C3	80	III	3
н-ПРОПИЛХЛОРФОРМИАТ	2740	6.1	TFC	668	I	1
БАРИЯ ГИПОХЛОРИТ, содержащий более 22% активного хлора	2741	5.1	OT2	56	II	2
ХЛОРФОРМИАТЫ ТОКСИЧНЫЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2742	6.1	TFC	638	II	2
н-БУТИЛХЛОРФОРМИАТ	2743	6.1	TFC	638	II	2
ЦИКЛОБУТИЛХЛОРФОРМИАТ	2744	6.1	TFC	638	II	2
ХЛОРМЕТИЛХЛОРФОРМИАТ	2745	6.1	TC1	68	II	2
ФЕНИЛХЛОРФОРМИАТ	2746	6.1	TC1	68	II	2
трет-БУТИЛЦИКЛОГЕКСИЛХЛОРФОРМИАТ	2747	6.1	T1	60	III	2
2-ЭТИЛГЕКСИЛХЛОРФОРМИАТ	2748	6.1	TC1	68	II	2
ТЕТРАМЕТИЛСИЛАН	2749	3	F1	33	I	1
1,3-ДИХЛОРПРОПАНОЛ-2	2750	6.1	T1	60	II	2
ДИЭТИЛТИОФОСФОРИЛХЛОРИД	2751	8	C3	80	II	2
1,2-ЭПОКСИ-3-ЭТОКСИПРОПАН	2752	3	F1	30	III	3
N-ЭТИЛБЕНЗИЛТОЛУИДИНЫ ЖИДКИЕ	2753	6.1	T1	60	III	2
N-ЭТИЛТОЛУИДИНЫ	2754	6.1	T1	60	II	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2757	6.1	T7	66	I	1
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2757	6.1	T7	60	II	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2757	6.1	T7	60	III	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2758	3	FT2	336	I	1
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2758	3	FT2	336	II	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2759	6.1	T7	66	I	1
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2759	6.1	T7	60	II	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2759	6.1	T7	60	III	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2760	3	FT2	336	I	1
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2760	3	FT2	336	II	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2761	6.1	T7	66	I	1
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2761	6.1	T7	60	II	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2761	6.1	T7	60	III	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2762	3	FT2	336	I	1
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2762	3	FT2	336	II	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2763	6.1	T7	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2763	6.1	T7	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2763	6.1	T7	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2764	3	FT2	336	I	1
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2764	3	FT2	336	II	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2771	6.1	T7	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2771	6.1	T7	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	2771	6.1	T7	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2772	3	FT2	336	I	1
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2772	3	FT2	336	II	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2775	6.1	T7	66	I	1
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2775	6.1	T7	60	II	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2775	6.1	T7	60	III	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2776	3	FT2	336	I	1
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2776	3	FT2	336	II	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2777	6.1	T7	66	I	1
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2777	6.1	T7	60	II	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2777	6.1	T7	60	III	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2778	3	FT2	336	I	1
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2778	3	FT2	336	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2779	6.1	T7	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2779	6.1	T7	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2779	6.1	T7	60	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2780	3	FT2	336	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2780	3	FT2	336	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2781	6.1	T7	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2781	6.1	T7	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ТВЕРДЫЙ ТОКСИЧНЫЙ	2781	6.1	T7	60	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2782	3	FT2	336	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2782	3	FT2	336	II	2
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2783	6.1	T7	66	I	1
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2783	6.1	T7	60	II	2
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2783	6.1	T7	60	III	2
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2784	3	FT2	336	I	1
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2784	3	FT2	336	II	2
4-ТИАПЕНТАНАЛЬ	2785	6.1	T1	60	III	2
ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2786	6.1	T7	66	I	1
ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2786	6.1	T7	60	II	2
ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ТВЕРДЫЙ ТОКСИЧНЫЙ	2786	6.1	T7	60	III	2
ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2787	3	FT2	336	I	1
ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	2787	3	FT2	336	II	2
ОЛОВООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	2788	6.1	T3	66	I	1
ОЛОВООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	2788	6.1	T3	60	II	2
ОЛОВООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	2788	6.1	T3	60	III	2
КИСЛОТА УКСУСНАЯ ЛЕДЯНАЯ	2789	8	CF1	83	II	2
КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты более 80%	2789	8	CF1	83	II	2
КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты не менее 50%, но не более 80%	2790	8	C3	80	II	2
КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты более 10% и менее 50%	2790	8	C3	80	III	3
СТРУЖКА, ОПИЛКИ, подверженные самонагреванию	2793	4.2	S4	40	III	3
ОБРЕЗКИ ЧЕРНЫХ МЕТАЛЛОВ, подверженные самонагреванию	2793	4.2	S4	40	III	3
БАТАРЕИ ЖИДКОСТНЫЕ КИСЛОТНЫЕ электрические аккумуляторные	2794	8	C11	80		3
БАТАРЕИ ЖИДКОСТНЫЕ ЩЕЛОЧНЫЕ электрические аккумуляторные	2795	8	C11	80		3
КИСЛОТА СЕРНАЯ, содержащая не более 51% кислоты	2796	8	C1	80	II	2
ЖИДКОСТЬ АККУМУЛЯТОРНАЯ КИСЛОТНАЯ	2796	8	C1	80	II	2
ЖИДКОСТЬ АККУМУЛЯТОРНАЯ ЩЕЛОЧНАЯ	2797	8	C5	80	II	2
ФЕНИЛФОСФОРДИХЛОРИД	2798	8	C3	80	II	2
ФЕНИЛФОСФОРТИОДИХЛОРИД	2799	8	C3	80	II	2
БАТАРЕИ ЖИДКОСТНЫЕ НЕПРОЛИВАЮЩИЕСЯ электрические аккумуляторные	2800	8	C11	80		3
КРАСИТЕЛЬ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	88	I	1
КРАСИТЕЛЬ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	80	II	2
КРАСИТЕЛЬ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	80	III	3
ПОЛУПРОДУКТ СИНТЕЗА КРАСИТЕЛЕЙ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	88	I	1
ПОЛУПРОДУКТ СИНТЕЗА КРАСИТЕЛЕЙ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	80	II	2
ПОЛУПРОДУКТ СИНТЕЗА КРАСИТЕЛЕЙ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.	2801	8	C9	80	III	3
МЕДИ ХЛОРИД	2802	8	C2	80	III	3
ГАЛЛИЙ	2803	8	C10	80	III	3
ЛИТИЯ ГИДРИД — СПЛАВ ТВЕРДЫЙ	2805	4.3	W2	423	II	2
ЛИТИЯ НИТРИД	2806	4.3	W2		I	1
Материал намагниченный	2807	9	M11			
РТУТЬ	2809	8	CT1	86	III	3
ТОКСИЧНАЯ ЖИДКОСТЬ ОРГАНИЧЕСКАЯ, Н.У.К.	2810	6.1	T1	66	I	1
ТОКСИЧНАЯ ЖИДКОСТЬ ОРГАНИЧЕСКАЯ, Н.У.К.	2810	6.1	T1	60	II	2
ТОКСИЧНАЯ ЖИДКОСТЬ ОРГАНИЧЕСКАЯ, Н.У.К.	2810	6.1	T1	60	III	2
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2811	6.1	T2	66	I	1
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2811	6.1	T2	60	II	2
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2811	6.1	T2	60	III	2
Натрия алюминат твердый	2812	8	C6			
ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, Н.У.К.	2813	4.3	W2	X423	I	0
ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, Н.У.К.	2813	4.3	W2	423	II	0
ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, Н.У.К.	2813	4.3	W2	423	III	0
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ ДЛЯ ЛЮДЕЙ	2814	6.2	I1			0
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ ДЛЯ ЛЮДЕЙ, в охлажденном жидком азоте	2814	6.2	I1			0
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ ДЛЯ ЛЮДЕЙ (только материалы животного происхождения)	2814	6.2	I1	606		0
N-АМИНОЭТИЛПИПЕРАЗИН	2815	8	C7	80	III	3
АММОНИЯ ГИДРОФТОРИДА РАСТВОР	2817	8	CT1	86	II	2
АММОНИЯ ГИДРОФТОРИДА РАСТВОР	2817	8	CT1	86	III	3
АММОНИЯ ПОЛИСУЛЬФИДА РАСТВОР	2818	8	CT1	86	II	2
АММОНИЯ ПОЛИСУЛЬФИДА РАСТВОР	2818	8	CT1	86	III	3
АМИЛФОСФАТ	2819	8	C3	80	III	3
КИСЛОТА МАСЛЯНАЯ	2820	8	C3	80	III	3
ФЕНОЛА РАСТВОР	2821	6.1	T1	60	II	2
ФЕНОЛА РАСТВОР	2821	6.1	T1	60	III	2
2-ХЛОРПИРИДИН	2822	6.1	T1	60	II	2
КИСЛОТА КРОТОНОВАЯ ТВЕРДАЯ	2823	8	C4	80	III	3
ЭТИЛХЛОРТИОФОРМИАТ	2826	8	CF1	83	II	2
КИСЛОТА КАПРОНОВАЯ	2829	8	C3	80	III	3
ЛИТИЙ-ФЕРРОСИЛИЦИЙ	2830	4.3	W2	423	II	2
1,1,1-ТРИХЛОРЭТАН	2831	6.1	T1	60	III	2
КИСЛОТА ФОСФОРИСТАЯ	2834	8	C2	80	III	3
НАТРИЯ АЛЮМОГИДРИД	2835	4.3	W2	423	II	2
БИСУЛЬФАТОВ ВОДНЫЙ РАСТВОР	2837	8	C1	80	II	2
БИСУЛЬФАТОВ ВОДНЫЙ РАСТВОР	2837	8	C1	80	III	3
ВИНИЛБУТИРАТ СТАБИЛИЗИРОВАННЫЙ	2838	3	F1	339	II	2
АЛЬДОЛЬ	2839	6.1	T1	60	II	2
БУТИРАЛЬДОКСИМ	2840	3	F1	30	III	3
ДИ-н-АМИЛАМИН	2841	3	FT1	36	III	3
НИТРОЭТАН	2842	3	F1	30	III	3
КАЛЬЦИЯ-МАРГАНЦА СИЛИКАТ	2844	4.3	W2	423	III	3
ПИРОФОРНАЯ ЖИДКОСТЬ ОРГАНИЧЕСКАЯ, Н.У.К.	2845	4.2	S1	333	I	0
ПИРОФОРНОЕ ВЕЩЕСТВО ТВЕРДОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2846	4.2	S2		I	0
3-ХЛОРПРОПАНОЛ-1	2849	6.1	T1	60	III	2
ПРОПИЛЕНА ТЕТРАМЕР	2850	3	F1	30	III	3
